DRGDefinition,ProviderName,ProviderCity,ZipCode,RefRegion,Discharges ,AvgCoveredCharges,AvgTotPayments,AvgMedicarePayment
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,13,31300.92,12153.23,11159.23
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,31,27225.03,7817.45,6874.22
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,18,23730.61,5641.55,4642.44
069 - TRANSIENT ISCHEMIA,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,40,18791.45,5104.4,4206.8
101 - SEIZURES W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,20,19727.95,5243.2,4458.8
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,25,51218.84,13342.96,12738.72
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,17,28309,9739.05,8816.23
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,23,34031.56,8943.39,8160.08
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,48,27531.58,8727.04,7336.68
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,21,21662.04,6728.85,5921.8
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,23,19637.6,5019.73,4287.04
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,52,34595.42,9982.57,9185.11
194 - SIMPLE PNEUMONIA & PLEURISY W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,65,24776.52,6906.32,6189
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,21,18332.85,4938.95,4084.09
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,13,122190.23,36481.3,35794.53
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,33,67287.33,16000.27,15285.75
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,19,63258.1,13559.31,12123.52
253 - OTHER VASCULAR PROCEDURES W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,16,76234.31,16766.37,15992.12
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,13,27164.84,8197.84,6925.46
